Employee_ID,First_Name,Last_Name,Gender,Ethnicity,Age,Marital_Status,Education,City,Job_Title,Department,Years_of_Service,Monthly_Rate,Attrition,Overtime,Environment_Satisfaction,Job_Satisfaction,Work_Life_Balance,Training_Opportunities,Support_Rating,Manager_Rating
RG03IFFW,Taylor,Horton,Female,Asian,62,Single,Doctorate,Bakersfield,System Administrator,IT,16.2994,12366.91,No,No,73.3141,69.2658,56.5782,2,90.7507,69.432
8R9NPJJO,Toni,Burke,Female,Asian,51,Single,Bachelors,San Diego,Software Engineer,Product,12.8609,19570.99,No,No,98.3817,67.1514,69.9535,2,60.0967,68.1774
9BO69SW0,Elizabeth,Jacobs,Female,White,28,Married,Bachelors,Anaheim,Cloud Architect,Product,6.0,17341.0,Yes,No,71.2805,76.364,60.9129,2,62.2814,71.4528
TJ39Z79V,Taylor,Marshall,Male,Other,44,Single,Doctorate,Oakland,System Administrator,Quality Assurance,16.6766,12899.95,Yes,No,76.102,96.5828,82.35,2,78.0995,77.3675
CC5UY7SE,John,Edwards,Male,White,44,Single,Doctorate,San Diego,Quality Assurance Engineer,Quality Assurance,18.0,10809.93,No,No,99.5902,70.3267,72.589,4,78.531,69.6418
cOhynJET,Michael,Allen,Male,White,42,Married,Masters,Oakland,DevOps Engineer,Design,15.1308,11477.62,No,Yes,81.7764,71.569,62.5411,1,83.1852,58.1184
507AQI8F,Morgan,Gallagher,Female,Hispanic or Latino,38,Married,Bachelors,Oakland,System Administrator,Quality Assurance,16.0,6315.1,No,No,86.0438,98.8736,20.9057,4,72.1034,82.372
0NMA8V1Z,Alex,Gomez,Male,Asian,32,Single,Bachelors,Fresno,Cloud Architect,Business,1.9706,16177.01,No,No,80.4733,74.3221,54.2596,6,63.761,65.1432
AIjNp83u,Tahu,Fitzgerald,Male,Native American,42,Married,Bachelors,Los Angeles,UX Designer,Business,16.7339,9830.07,No,No,99.3732,84.9981,58.8506,1,95.093,86.7376
gRIPWFU9,Jamie,Thomas,Female,Asian,37,Single,Masters,San Diego,Cloud Architect,IT,11.1832,8642.89,No,No,70.0407,58.952,38.7753,9,67.6529,62.0704
NfkMHZab,Jamie,Houston,Female,Other,25,Single,Bachelors,Fresno,Cloud Architect,Product,3.0,6341.2,No,No,86.5333,52.1373,53.2771,8,80.6774,53.5686
0bN5qoDm,Taylor,Coleman,Female,Other,40,Married,Bachelors,Long Beach,Quality Assurance Engineer,Quality Assurance,18.0,4306.83,No,No,90.8434,94.6985,68.3176,1,83.7458,77.6209
SEHWTQ1W,Alex,Hall,Non-binary,Hispanic or Latino,55,Single,Bachelors,Los Angeles,Quality Assurance Engineer,Design,3.6608,8007.19,Yes,Yes,74.6347,74.5372,37.9603,6,61.9562,76.1805
XMVCO31Z,William,Martin,Male,White,36,Married,Bachelors,San Jose,Software Engineer,Engineering,14.0,10186.01,No,Yes,64.4587,75.1938,42.3609,8,84.5633,60.3718
N8910HDW,Niko,Robinson,Male,Pacific Islander,42,Married,Bachelors,San Francisco,Cloud Architect,Engineering,20.0,8249.68,No,No,86.0047,97.7396,81.3394,3,69.0021,87.1991
8904LFUU,Elizabeth,Moore,Female,White,50,Divorced,Bachelors,Long Beach,DevOps Engineer,Business,11.7414,10861.74,Yes,No,77.7263,72.7542,47.3352,3,82.5344,75.9451
22G5BS3U,Pat,Harris,Male,Asian,33,Married,Bachelors,San Diego,UX Designer,Engineering,11.0,6050.38,No,Yes,93.3309,65.0549,22.7015,8,81.7976,52.95
dKE6RG8k,Fetu,Johnson,Male,Pacific Islander,23,Married,Bachelors,San Jose,IT Support Specialist,Quality Assurance,1.0,15006.54,Yes,No,72.5199,98.9305,87.0245,6,90.9281,81.5721
6MQBX1WN,Leilani,Nichols,Female,Pacific Islander,28,Married,Masters,Long Beach,DevOps Engineer,Product,0.5691,14321.06,No,No,97.4484,81.5725,87.1614,3,70.2778,81.0303
cCDykAh9,Dakota,Kaiser,Female,Native American,56,Married,Masters,Fresno,Product Manager,Engineering,6.6798,15035.2,No,No,91.1053,72.5489,61.7362,2,68.1152,59.8132
XLHRUPXM,Manuia,Moody,Male,Pacific Islander,36,Married,Masters,San Jose,Business Analyst,Product,8.8429,6500.18,No,No,66.6634,60.0663,62.7007,9,70.7657,48.5659
HQ1V67GZ,Chris,Beck,Male,Other,45,Married,Bachelors,Oakland,UX Designer,Quality Assurance,10.469,8409.42,No,Yes,97.1132,73.4608,52.2844,2,83.0436,70.2581
TZBBUH1D,Alofa,Chavez,Female,Pacific Islander,41,Single,Bachelors,Long Beach,Product Manager,Business,19.0,4629.48,Yes,No,63.7809,89.5987,69.4356,6,96.8463,88.6906
zV4hBdFY,Taylor,Porter,Female,Black or African American,52,Single,Masters,Fresno,Data Scientist,Product,15.1894,11851.52,No,Yes,69.4505,79.6523,65.8455,5,86.6959,76.45
TDKA67PG,Chris,Stephens,Male,Other,51,Married,Bachelors,Bakersfield,Cloud Architect,Design,4.9848,9120.15,No,Yes,96.8694,81.8379,27.089,8,98.3575,77.4375
2YC4LF0X,Pat,Velasquez,Male,Black or African American,44,Married,Masters,Bakersfield,Cloud Architect,IT,3.4996,6416.79,No,No,64.1074,62.4817,60.7585,9,68.9453,55.3804
JH51KO7N,Chris,Reyes,Male,Other,54,Married,Bachelors,Sacramento,Cloud Architect,IT,20.6777,19342.26,Yes,Yes,61.3668,94.2912,44.8685,9,65.9808,86.3921
JM4ZVK6S,Leilani,Wright,Female,Pacific Islander,37,Single,Bachelors,Sacramento,Software Engineer,Product,7.9383,11424.9,Yes,No,87.5104,53.7847,51.8106,6,93.2749,61.4452
ZEAvsNQM,Taylor,Erickson,Female,Hispanic or Latino,37,Married,Bachelors,San Francisco,IT Support Specialist,Business,15.0,12888.18,No,No,94.6916,63.8682,50.0271,7,61.3408,53.8266
L98I9MTH,Taylor,Myers,Male,Asian,47,Single,Bachelors,Fresno,DevOps Engineer,Engineering,25.0,4791.35,No,No,63.2003,79.224,56.3198,9,94.5894,99.4505
8UEKo0Gl,Jamie,Hendricks,Female,Asian,36,Single,Bachelors,Los Angeles,UX Designer,Engineering,14.0,4868.76,No,No,72.9676,72.8599,82.3974,5,63.4078,64.648
DF31CS1W,Taylor,Elliott,Male,Other,32,Married,Masters,Fresno,System Administrator,IT,6.7385,10100.51,No,No,94.4563,63.3257,64.4665,3,71.5838,64.5545
tTeMOOla,Toni,Willis,Female,Other,39,Single,Bachelors,Fresno,System Administrator,Quality Assurance,17.0,10670.43,No,No,86.8107,79.6692,76.0514,8,82.7155,75.6431
FRHCT2G4,Robert,Faulkner,Male,White,35,Married,Masters,Long Beach,Quality Assurance Engineer,Engineering,10.1701,13830.1,No,No,70.2518,76.6916,55.4051,6,64.6201,64.331
UIPOI83T,Michael,Oneal,Male,White,28,Single,Bachelors,San Diego,Cloud Architect,Business,3.8409,10454.32,Yes,No,77.5248,96.0832,71.1481,5,90.3587,87.8837
3CW0OSSM,Toni,Rodriguez,Female,Other,33,Married,Bachelors,Long Beach,Cloud Architect,IT,11.0,16101.95,Yes,No,79.687,77.0356,65.2452,6,94.3478,73.5653
Q9SFRVVE,Chris,Brown,Male,Asian,41,Single,Bachelors,Oakland,DevOps Engineer,Engineering,19.0,13851.44,No,No,91.1976,69.0274,58.1498,7,69.7518,56.0374
TEHGRD2P,Jordan,Mcdonald,Male,Hispanic or Latino,43,Married,Masters,Sacramento,DevOps Engineer,Design,8.0527,11271.43,No,No,84.228,76.6589,84.983,4,75.626,65.9606
0X3IKVRN,Jordan,Oliver,Male,Hispanic or Latino,32,Married,Bachelors,Oakland,Quality Assurance Engineer,Business,3.6001,11864.86,No,Yes,63.2031,72.4104,36.6706,3,82.2169,68.0475
WIN5JEY1,James,Everett,Male,White,32,Single,Masters,Fresno,System Administrator,Quality Assurance,8.0,18787.74,No,Yes,71.1575,85.7309,66.1962,3,97.6446,81.2527
PXRHKLYI,Chris,Mendoza,Male,Asian,32,Married,Masters,San Jose,UX Designer,Product,2.3194,18608.54,No,No,63.6661,57.5286,36.109,4,98.1026,50.5305
2HNR0T9W,Chris,Jacobson,Male,Black or African American,39,Single,Masters,Long Beach,Product Manager,Engineering,10.2856,9898.23,No,No,70.0551,61.9207,52.8978,1,73.4717,64.1665
3icPAtJ8,Jamie,Terry,Female,Hispanic or Latino,37,Single,Bachelors,San Francisco,Quality Assurance Engineer,Design,9.1869,16628.88,Yes,No,79.0304,91.1391,73.4062,9,61.0235,85.7342
xbyAXc6d,Alex,Gillespie,Male,Black or African American,45,Divorced,Bachelors,Oakland,Software Engineer,Design,5.8737,19370.69,No,No,80.1627,94.0084,59.8733,4,77.5152,95.0631
RpYkEEY5,Manuia,Rhodes,Male,Pacific Islander,38,Single,Bachelors,San Diego,DevOps Engineer,Product,16.0,7903.73,No,Yes,60.5888,99.9357,55.236,2,75.4083,96.8788
fQOO1hFe,Niko,Sanders,Male,Pacific Islander,50,Single,Bachelors,Anaheim,UX Designer,Design,2.6085,16854.48,No,Yes,63.139,58.7136,55.275,1,70.0887,47.6415
ABkg25Rg,Tahu,Branch,Non-binary,Native American,32,Single,Bachelors,Fresno,System Administrator,Quality Assurance,10.0,7831.91,No,No,67.678,68.0362,65.7569,3,87.6853,58.6818
XE9A53AY,Alex,Cervantes,Male,Other,36,Married,Masters,Long Beach,Software Engineer,IT,4.0954,10943.42,No,No,78.4192,77.6384,60.1995,9,75.6132,74.3398
ePNk7HgK,Tama,Anderson,Male,Pacific Islander,33,Married,Bachelors,San Francisco,Product Manager,Engineering,11.0,14236.68,No,No,94.3556,56.2784,57.0756,5,85.184,61.3687
bPV7bUmC,Jordan,Todd,Male,Black or African American,23,Married,Masters,Bakersfield,Cloud Architect,Product,0.0,9516.81,No,No,93.8969,54.2877,47.8123,1,71.1051,49.3726
OT4NCJWZ,Pat,Perez,Male,Black or African American,39,Single,Masters,Los Angeles,System Administrator,Engineering,15.0,14003.07,No,Yes,62.2453,80.3937,45.2579,4,72.602,79.0524
D0MOHTGL,Pat,Lopez,Male,Hispanic or Latino,45,Single,Bachelors,Fresno,Software Engineer,Business,23.0,13946.62,No,No,75.9622,80.8966,83.3258,2,81.6585,67.5333
HZTCHJN4,Robert,Vang,Male,White,45,Single,Bachelors,San Diego,System Administrator,Engineering,4.1248,4077.23,Yes,No,97.3212,61.5857,76.0497,3,95.5121,59.4941
0UHE5N3B,Alex,Boyd,Male,Hispanic or Latino,39,Married,Bachelors,Oakland,Cloud Architect,IT,17.0,14657.62,No,Yes,84.2267,80.4302,42.0891,4,96.3245,84.0986
IXSBRDSH,Jamie,Collins,Female,Asian,23,Single,Bachelors,San Jose,UX Designer,Quality Assurance,1.0,8198.18,No,No,85.213,79.6681,58.7398,8,97.65,71.8766
KHeLdgNL,Niko,Rose,Male,Pacific Islander,36,Single,Bachelors,San Jose,System Administrator,Product,13.1174,16121.39,Yes,No,63.7895,85.3212,81.7703,9,71.516,87.774
18H5VRYB,Taylor,Kelly,Male,Hispanic or Latino,52,Single,Bachelors,Long Beach,System Administrator,Engineering,2.0399,15608.48,No,No,78.0132,85.9384,83.2254,5,99.256,74.6149
KL68YR7X,John,Cochran,Male,White,34,Single,Masters,Sacramento,Software Engineer,Quality Assurance,10.0,15537.63,No,Yes,86.1512,85.1891,49.7972,6,97.2642,84.938
7X162IPO,Chris,Gonzalez,Male,Asian,35,Married,Bachelors,Sacramento,Software Engineer,Business,13.0,16018.57,No,No,75.7191,88.2169,60.6111,5,91.433,80.8266
YZQWCZKA,Jordan,Underwood,Male,Asian,48,Single,Bachelors,San Diego,Software Engineer,Quality Assurance,9.7931,14499.46,No,Yes,95.8594,69.2527,27.9156,5,81.5263,59.3218
PCCGD273,Cetan,Stafford,Male,Native American,46,Married,Bachelors,Oakland,IT Support Specialist,Product,6.3726,5906.2,No,Yes,90.9961,69.2773,44.9578,7,63.437,73.4571
BFaJBV6t,Jamie,Duncan,Female,Black or African American,33,Single,Masters,San Jose,UX Designer,Product,9.0,19456.74,No,No,99.9423,84.8807,75.5998,7,99.9008,85.246
XU6H7AX2,Jordan,Pitts,Male,Hispanic or Latino,23,Married,Bachelors,San Jose,System Administrator,Business,1.0,13857.29,Yes,No,60.1227,54.7417,42.4378,6,97.2132,57.8671
XX4MA6GY,Pat,Perry,Male,Black or African American,28,Married,Bachelors,San Diego,DevOps Engineer,Product,6.0,6754.41,No,No,68.906,62.4492,51.6665,6,80.5642,59.6498
0FJPY6PY,Nalani,Nguyen,Female,Pacific Islander,31,Married,Masters,Los Angeles,DevOps Engineer,Business,7.0,7988.4,No,No,63.5373,64.222,57.5372,3,87.7115,69.5005
2LI1AIQA,Dakota,Young,Male,Native American,63,Single,Masters,San Francisco,Data Scientist,Business,26.8177,16706.25,No,No,74.9913,87.5006,66.1857,8,76.9992,73.2946
385vgLM8,Mika,Hanson,Female,Native American,32,Single,Bachelors,San Francisco,Business Analyst,Engineering,10.0,6734.05,Yes,No,99.3651,59.1144,58.6209,4,62.3056,66.6776
3CUIYSW2,Aiyana,Rose,Female,Native American,37,Divorced,Masters,Anaheim,DevOps Engineer,IT,2.4696,9306.31,No,Yes,94.1725,73.9245,36.6806,1,86.6759,66.8261
8GrDX8tf,William,Morales,Male,White,47,Married,Bachelors,San Francisco,System Administrator,Engineering,3.5989,8504.34,No,No,84.1594,82.5607,86.4422,3,78.7062,76.9815
cpbHY3jW,Taylor,Davidson,Female,Asian,40,Married,Masters,Sacramento,UX Designer,Quality Assurance,16.0,7912.6,No,Yes,70.0333,55.1246,27.7357,8,84.9605,53.4729
WI1RTJ9Q,Alex,Dixon,Male,Asian,39,Single,Bachelors,Sacramento,IT Support Specialist,Quality Assurance,5.3876,7267.37,Yes,No,98.6627,66.0675,77.4184,8,82.9554,63.5695
IInvZjAj,Chris,Keller,Male,Hispanic or Latino,64,Married,Bachelors,San Francisco,Software Engineer,IT,3.7858,16061.01,No,No,83.8279,59.2173,70.5666,2,69.8062,54.4837
P6U52EJK,Jordan,Knight,Male,Other,45,Single,Masters,Bakersfield,System Administrator,Product,21.0,12352.36,No,Yes,87.0853,72.8856,31.2439,1,80.4319,70.424
UYH8BN0Y,Taylor,Estes,Female,Asian,42,Single,Bachelors,Los Angeles,UX Designer,IT,20.0,4731.67,No,No,76.822,86.023,72.3342,7,90.4524,69.1785
Ubbeznf7,Taylor,Craig,Female,Other,30,Married,Bachelors,Long Beach,IT Support Specialist,Design,2.5249,18848.0,No,No,61.2429,57.6819,54.7429,5,69.1124,49.835
6xzqrwvz,Casey,Cordova,Female,Hispanic or Latino,51,Married,Masters,Sacramento,Product Manager,Design,10.1673,11381.03,No,Yes,71.1782,74.759,30.5028,9,66.5692,60.9689
waoWCTIt,Linda,Cunningham,Female,White,27,Divorced,Bachelors,Fresno,Data Scientist,IT,5.0,9094.95,No,No,68.2894,53.0633,60.8814,1,66.6525,62.0327
Y83FGP1Z,Jamie,Griffith,Female,Hispanic or Latino,54,Single,Masters,Fresno,Business Analyst,Quality Assurance,11.162,9732.68,No,No,80.8726,88.0222,70.1671,2,90.0477,78.8463
ZOED2P6J,Tama,Brock,Male,Pacific Islander,46,Married,Bachelors,Bakersfield,Software Engineer,Quality Assurance,14.817,8670.8,No,No,66.1393,81.3625,76.6031,4,71.4213,83.3085
AVF0FEK0,Chris,Cooper,Male,Black or African American,47,Married,Bachelors,Bakersfield,Product Manager,Design,6.2448,6912.33,No,No,93.8698,72.641,46.9256,4,93.2243,66.2819
U2DO5rG4,Cetan,Sanders,Male,Native American,44,Married,Bachelors,Sacramento,Cloud Architect,Quality Assurance,22.0,11746.92,No,No,61.7844,92.6955,72.7556,8,96.0474,74.8966
2TN8XSN3,Jamie,Simpson,Female,Other,50,Divorced,Doctorate,Fresno,System Administrator,Product,15.3623,6788.68,No,No,90.9927,55.8308,39.917,1,64.809,53.4441
ql4jHA58,Robert,Kelley,Male,White,37,Married,Bachelors,Long Beach,UX Designer,Product,0.766,5280.66,Yes,No,63.1023,63.2431,73.7032,2,87.366,55.7812
mQEhz6EN,Jamie,Atkinson,Female,Black or African American,59,Married,Masters,Anaheim,Business Analyst,Quality Assurance,14.4893,10362.42,No,Yes,70.0467,72.4542,32.5379,5,99.9379,76.2516
YPF6X2BK,Taylor,Lyons,Male,Other,40,Married,Bachelors,Oakland,System Administrator,Engineering,18.0,5499.45,No,Yes,90.1471,94.7503,43.9066,4,73.1493,92.7396
NYU8PV6E,Alex,Peters,Male,Asian,30,Single,Bachelors,Oakland,Quality Assurance Engineer,Design,8.0,19417.65,No,No,98.5961,53.3792,34.8472,4,73.2099,44.2725
F6TS9U17,Nokomis,Calhoun,Female,Native American,33,Married,Masters,San Diego,Software Engineer,Engineering,9.0,12687.07,No,No,63.3421,82.1034,82.7784,8,85.2961,69.1468
A93TOYJR,Pat,Mccoy,Male,Hispanic or Latino,24,Single,Bachelors,Los Angeles,System Administrator,Design,1.985,8936.13,No,No,74.9159,99.699,82.9239,3,82.7102,81.3386
ZHZQAWO3,Pat,Jensen,Male,Asian,41,Married,Bachelors,Long Beach,Software Engineer,Business,10.3443,10306.05,No,Yes,65.6709,57.2711,14.1701,5,87.7833,62.0072
80V493JZ,Tama,Shaw,Male,Pacific Islander,42,Single,Doctorate,San Francisco,Business Analyst,Product,6.2879,17189.82,Yes,No,83.6858,63.578,41.5119,2,87.8407,69.8616
66OU3guk,Aiyana,Roberts,Female,Native American,45,Married,Bachelors,Oakland,Business Analyst,Design,5.7906,4925.72,No,No,97.8077,74.8017,53.9715,5,91.0653,79.4561
C291I2KX,Chris,Bowen,Male,Black or African American,41,Divorced,Bachelors,San Diego,DevOps Engineer,Quality Assurance,6.2319,11992.22,No,Yes,61.9116,56.9363,33.0923,3,71.1345,60.1263
VZLW2P0Y,Jordan,Taylor,Male,Asian,40,Married,Bachelors,San Jose,UX Designer,Quality Assurance,18.0,18529.76,No,No,82.8749,82.1028,62.9971,5,80.7009,75.1236
QM0F52KW,Fetu,Davis,Male,Pacific Islander,30,Single,Doctorate,Fresno,Data Scientist,Design,4.0,14646.24,Yes,No,74.626,76.2512,55.3134,5,85.7463,74.005
PF8VRTB8,Ahanu,So,Male,Native American,31,Widowed,Masters,San Jose,Cloud Architect,Business,5.2958,4475.5,No,No,93.0781,51.0339,41.6905,3,97.762,43.0469
UTOYTSL2,Chris,Martinez,Male,Asian,54,Single,Bachelors,Sacramento,Quality Assurance Engineer,Design,3.5939,6199.8,No,No,78.7028,79.4892,73.9747,6,97.6664,72.3139
RC7FBNQL,Morgan,Beltran,Female,Black or African American,31,Single,Bachelors,Anaheim,Data Scientist,Engineering,9.0,11543.66,No,Yes,75.3176,63.4798,24.5561,1,68.5771,69.181
0I9CO8VF,Jamie,Mitchell,Female,Hispanic or Latino,58,Divorced,Bachelors,Oakland,Business Analyst,Design,0.845,12668.48,No,No,92.7412,67.2505,74.0369,7,78.0129,68.1234
KF5660KS,Jordan,Torres,Male,Asian,37,Married,Bachelors,Oakland,Quality Assurance Engineer,Product,15.0,6677.34,No,Yes,93.4697,51.7402,14.2097,2,80.6401,43.088
Qix8Ejgs,Chris,Mann,Male,Black or African American,39,Single,Bachelors,Long Beach,Product Manager,Business,17.0,4863.28,No,No,67.0763,63.2203,52.6622,4,94.2403,56.7025
LZXONDQ6,Taylor,Duncan,Male,Asian,46,Single,Doctorate,San Francisco,System Administrator,Business,18.7289,16253.11,No,Yes,61.4683,99.6642,51.2218,3,87.222,96.5737
qDY1pGsQ,Toni,Peters,Female,Asian,38,Single,Bachelors,San Diego,Data Scientist,Engineering,9.1677,7385.88,No,No,81.6971,74.8916,71.8958,4,75.2885,60.651
UtOHS3OH,Taylor,Barrett,Female,Hispanic or Latino,36,Single,Masters,San Jose,Business Analyst,Business,12.0,18824.8,No,No,93.6702,74.4928,52.3201,8,68.513,76.1986
IXYVFGG0,William,Cook,Male,White,63,Single,Bachelors,San Jose,DevOps Engineer,Product,1.833,17461.09,No,Yes,63.4572,72.4512,36.7321,5,80.3557,73.6879
21Y788CR,Dakota,Myers,Male,Native American,31,Married,Bachelors,Fresno,UX Designer,Business,9.0,7482.12,No,No,99.4653,99.6776,62.8857,7,66.1809,86.5227
0Y2ZWQSY,Pat,Ryan,Male,Hispanic or Latino,47,Single,Bachelors,Anaheim,Data Scientist,Business,17.7151,5287.47,No,Yes,62.4744,89.4194,45.5195,9,75.3091,89.9855
WQXV7WED,Michael,Kramer,Male,White,34,Single,Bachelors,Long Beach,Data Scientist,IT,12.0,17349.1,Yes,No,80.8674,97.804,96.6533,5,78.6714,88.6244
SStPEr8M,William,Griffith,Male,White,52,Divorced,Masters,Bakersfield,UX Designer,Design,22.6297,5238.49,No,No,86.8416,72.1455,48.2611,8,70.3148,71.3814
TaM5RsTT,Niko,Hill,Male,Pacific Islander,57,Married,Bachelors,Sacramento,Quality Assurance Engineer,Quality Assurance,14.4856,15733.05,Yes,No,67.2736,80.4847,76.3153,5,96.5959,68.0301
rVolZGW6,Chris,Sampson,Male,Asian,48,Married,Bachelors,San Diego,DevOps Engineer,Quality Assurance,26.0,8316.18,No,No,60.3073,66.1439,66.849,8,75.5801,60.2658
9P46KEVU,Taylor,Forbes,Male,Black or African American,26,Single,Bachelors,Bakersfield,Data Scientist,Engineering,4.0,8181.26,No,No,63.8495,60.8979,50.3421,6,98.5484,57.7671
